variable,importancia,desv_std
thal,0.07101426375303571,0.020165522575398012
ca,0.06741950515736589,0.01876074613857401
old_peak,0.06221351679431386,0.021956723229862564
age,0.05188528680268017,0.02794081618599629
chest_pain,0.02962513432967089,0.022583783289092257
chol,0.022750356783386144,0.016110959859565604
sex,0.012945022437174195,0.010904266694794476
max_hr,0.010048868271975075,0.017560491489528596
exang,0.0071464575159056205,0.008018972748037687
slope,0.00406521987804999,0.015056599647921843
rest_ecg,0.0040343752884843005,0.009359264978141057
rest_bp,0.003738844411358348,0.011555053026568589
fbs,0.0,0.0
